index,paramerter,true,pred,likelihood_lifespan,n
85,2,30.601219177246094,30.246402740478516,29.27735811436689,5000
85,3,56.37818145751953,57.56678771972656,57.87214032752385,5000
86,1,78.49959564208984,74.8614273071289,72.55438903834619,5000
86,2,40.10259246826172,41.01883316040039,40.63479726161964,5000
86,3,81.25332641601562,82.07552337646484,80.57945054398316,5000
87,1,45.50428771972656,45.40700149536133,45.8439915258128,5000
87,2,26.123851776123047,26.4539794921875,25.559419362414726,5000
87,3,48.872127532958984,51.76350784301758,50.76363993017882,5000
88,1,80.81413269042969,81.69763946533203,82.93261786257142,5000
88,2,48.91322708129883,48.93040466308594,48.01379376867562,5000
88,3,72.68110656738281,72.49905395507812,74.29578013851224,5000
89,1,62.75929260253906,64.08233642578125,64.27173032937324,5000
89,2,18.32526397705078,18.380632400512695,19.150002100484695,5000
89,3,2.2686972618103027,2.472318410873413,2.425006018467031,5000
90,1,48.757972717285156,44.07676696777344,42.84018747167807,5000
90,2,52.706600189208984,54.34817123413086,53.12688433315108,5000
90,3,47.911155700683594,48.36848449707031,48.291737328759346,5000
91,1,42.72875213623047,41.763973236083984,42.61348911596014,5000
91,2,16.387741088867188,16.364999771118164,15.947741953233997,5000
91,3,26.885414123535156,25.877140045166016,26.42864388912787,5000
92,1,8.0856294631958,6.233513832092285,7.24112793064128,5000
92,2,17.14141082763672,14.60059928894043,17.441615119176024,5000
92,3,20.311012268066406,19.72526741027832,20.83752784754797,5000
93,1,60.467350006103516,59.40370559692383,57.62905772516261,5000
93,2,43.40019989013672,41.80361557006836,37.708493508031495,5000
93,3,15.90411376953125,13.452457427978516,15.658388658707274,5000
94,1,60.98103332519531,64.61804962158203,65.02572670555436,5000
94,2,77.37071228027344,80.68014526367188,80.75777728932073,5000
94,3,47.60685729980469,48.329200744628906,48.35421145060667,5000
95,1,83.37928009033203,83.27764892578125,85.14288862477557,5000
95,2,19.960548400878906,21.407941818237305,21.168192123960452,5000
95,3,68.00218963623047,73.82804870605469,69.75817808707944,5000
96,1,49.902591705322266,48.333595275878906,45.14614950225114,5000
96,2,9.688553810119629,8.881410598754883,9.893864566378683,5000
96,3,99.00377655029297,93.1492919921875,92.84917806949181,5000
97,1,56.96321105957031,56.84093475341797,56.883429048897085,5000
97,2,59.356544494628906,56.41910934448242,54.93544539931704,5000
97,3,63.60886001586914,66.688232421875,67.2208816482525,5000
98,1,16.391191482543945,15.622636795043945,16.514096077974852,5000
98,2,58.91429138183594,56.889827728271484,58.91975813395036,5000
98,3,7.270959854125977,6.914063930511475,7.769640259646008,5000
99,1,36.61074447631836,36.378021240234375,34.96486190846771,5000
99,2,58.127647399902344,61.18207931518555,60.1327917613776,5000
99,3,40.42699432373047,36.13067626953125,36.09628289521073,5000
100,1,79.6837158203125,80.8858413696289,83.05248390010716,5000
100,2,32.60545349121094,31.522321701049805,32.142904936446854,5000
100,3,2.3225505352020264,2.4412381649017334,2.264236938525516,5000
101,1,1.9296880960464478,15.862116813659668,0.0,5000
101,2,65.85617065429688,69.23674011230469,7.999883637528745e+193,5000
101,3,89.98345184326172,88.54875946044922,8.692858711447273e+232,5000
102,1,64.82624053955078,66.05442810058594,65.34869487636658,5000
102,2,35.77948760986328,34.96845245361328,36.75820788253792,5000
